Tournament Id,Stage Name,Group Name,Group Stage,Knockout Stage,Match Date,Home Team Name,Away Team Name,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,year,home_elo,home_rank,home_conf,home_is_host,home_elo_max,home_elo_avg,home_elo_min,home_wins,home_losses,home_draws,home_goals_for,home_goals_against,home_matches_total,away_elo,away_rank,away_conf,away_is_host,away_elo_max,away_elo_avg,away_elo_min,away_wins,away_losses,away_draws,away_goals_for,away_goals_against,away_matches_total,elo_diff,rank_diff,goal_diff,home_win_rate,away_win_rate,home_goals_per_match,away_goals_per_match
WC-1934,third-place match,not applicable,0,1,1934-06-07,Germany,Austria,3,2,1,-1,0,0,0-0,0,0,2,1,0,0,1934,1878,9,UEFA,0,1878,1704,1637,42,43,21,247,233,106,1957,6,UEFA,0,2070,1880,1785,83,53,33,404,304,169,-79,3,1,0.39622641509433965,0.4911242603550296,2.330188679245283,2.3905325443786984
WC-1938,round of 16,not applicable,0,1,1938-06-04,Switzerland,Germany,1,1,0,0,1,0,0-0,0,0,1,0,0,1,1938,1710,19,UEFA,0,1795,1575,1485,44,95,29,265,425,168,1774,14,UEFA,0,1913,1723,1637,73,53,29,380,297,155,-64,5,0,0.2619047619047619,0.47096774193548385,1.5773809523809523,2.4516129032258065
WC-1938,round of 16,not applicable,0,1,1938-06-05,France,Belgium,3,1,2,-2,0,0,0-0,0,0,2,1,0,0,1938,1641,32,UEFA,0,1655,1581,1514,46,93,16,268,482,155,1542,45,UEFA,0,1930,1723,1503,62,92,31,364,469,185,99,-13,2,0.2967741935483871,0.33513513513513515,1.729032258064516,1.9675675675675677
WC-1938,round of 16,not applicable,0,1,1938-06-09,Switzerland,Germany,4,2,2,-2,0,0,0-0,0,0,2,1,0,0,1938,1710,19,UEFA,0,1795,1575,1485,44,95,29,265,425,168,1774,14,UEFA,0,1913,1723,1637,73,53,29,380,297,155,-64,5,2,0.2619047619047619,0.47096774193548385,1.5773809523809523,2.4516129032258065
WC-1938,third-place match,not applicable,0,1,1938-06-19,Brazil,Sweden,4,2,2,-2,0,0,0-0,0,0,2,1,0,0,1938,1935,7,CONMEBOL,0,1939,1890,1805,29,21,9,119,100,59,1656,30,UEFA,0,1894,1712,1579,104,87,33,599,458,224,279,-23,2,0.4915254237288136,0.4642857142857143,2.016949152542373,2.674107142857143
WC-1950,group stage,Group 1,1,0,1950-06-24,Brazil,Mexico,4,0,4,-4,0,0,0-0,0,0,2,1,0,0,1950,2013,2,CONMEBOL,0,2066,1903,1805,60,36,19,292,191,115,1729,19,CONCACAF,1,1860,1720,1498,26,11,2,129,74,39,284,-17,4,0.5217391304347826,0.6666666666666666,2.5391304347826087,3.3076923076923075
WC-1950,group stage,Group 2,1,0,1950-06-25,Spain,United States,3,1,2,-2,0,0,0-0,0,0,2,1,0,0,1950,1868,12,UEFA,0,2036,1950,1867,48,19,17,194,110,84,1566,45,CONCACAF,1,1784,1688,1535,10,23,3,65,133,36,302,-33,2,0.5714285714285714,0.2777777777777778,2.3095238095238093,1.8055555555555556
WC-1950,group stage,Group 1,1,0,1950-06-28,Brazil,Switzerland,2,2,0,0,0,0,0-0,0,0,1,0,0,1,1950,2013,2,CONMEBOL,0,2066,1903,1805,60,36,19,292,191,115,1758,15,UEFA,0,1803,1623,1485,69,124,38,378,568,231,255,-13,0,0.5217391304347826,0.2987012987012987,2.5391304347826087,1.6363636363636365
WC-1950,group stage,Group 2,1,0,1950-06-29,United States,England,1,0,1,-1,0,0,0-0,0,0,2,1,0,0,1950,1566,45,CONCACAF,1,1784,1688,1535,10,23,3,65,133,36,1999,3,UEFA,0,2213,1998,1810,224,69,47,1134,419,340,-433,42,1,0.2777777777777778,0.6588235294117647,1.8055555555555556,3.335294117647059
WC-1950,group stage,Group 3,1,0,1950-06-29,Sweden,Paraguay,2,2,0,0,0,0,0-0,0,0,1,0,0,1,1950,1935,7,UEFA,0,2013,1737,1579,149,103,42,833,576,294,1850,13,CONMEBOL,0,1904,1749,1647,38,53,17,170,224,108,85,-6,0,0.5068027210884354,0.35185185185185186,2.8333333333333335,1.5740740740740742
WC-1950,group stage,Group 2,1,0,1950-07-02,Spain,England,1,0,1,-1,0,0,0-0,0,0,2,1,0,0,1950,1868,12,UEFA,0,2036,1950,1867,48,19,17,194,110,84,1999,3,UEFA,0,2213,1998,1810,224,69,47,1134,419,340,-131,9,1,0.5714285714285714,0.6588235294117647,2.3095238095238093,3.335294117647059
WC-1950,group stage,Group 1,1,0,1950-07-02,Switzerland,Mexico,2,1,1,-1,0,0,0-0,0,0,2,1,0,0,1950,1758,15,UEFA,0,1803,1623,1485,69,124,38,378,568,231,1729,19,CONCACAF,1,1860,1720,1498,26,11,2,129,74,39,29,-4,1,0.2987012987012987,0.6666666666666666,1.6363636363636365,3.3076923076923075
WC-1950,group stage,not applicable,1,0,1950-07-09,Brazil,Sweden,7,1,6,-6,0,0,0-0,0,0,2,1,0,0,1950,2013,2,CONMEBOL,0,2066,1903,1805,60,36,19,292,191,115,1935,7,UEFA,0,2013,1737,1579,149,103,42,833,576,294,78,-5,6,0.5217391304347826,0.5068027210884354,2.5391304347826087,2.8333333333333335
WC-1950,group stage,not applicable,1,0,1950-07-09,Uruguay,Spain,2,2,0,0,0,0,0-0,0,0,1,0,0,1,1950,1872,11,CONMEBOL,0,2104,1929,1718,124,100,49,519,412,273,1868,12,UEFA,0,2036,1950,1867,48,19,17,194,110,84,4,-1,0,0.4542124542124542,0.5714285714285714,1.901098901098901,2.3095238095238093
WC-1950,group stage,not applicable,1,0,1950-07-13,Brazil,Spain,6,1,5,-5,0,0,0-0,0,0,2,1,0,0,1950,2013,2,CONMEBOL,0,2066,1903,1805,60,36,19,292,191,115,1868,12,UEFA,0,2036,1950,1867,48,19,17,194,110,84,145,-10,5,0.5217391304347826,0.5714285714285714,2.5391304347826087,2.3095238095238093
WC-1950,group stage,not applicable,1,0,1950-07-13,Uruguay,Sweden,3,2,1,-1,0,0,0-0,0,0,2,1,0,0,1950,1872,11,CONMEBOL,0,2104,1929,1718,124,100,49,519,412,273,1935,7,UEFA,0,2013,1737,1579,149,103,42,833,576,294,-63,4,1,0.4542124542124542,0.5068027210884354,1.901098901098901,2.8333333333333335
WC-1950,group stage,not applicable,1,0,1950-07-16,Sweden,Spain,3,1,2,-2,0,0,0-0,0,0,2,1,0,0,1950,1935,7,UEFA,0,2013,1737,1579,149,103,42,833,576,294,1868,12,UEFA,0,2036,1950,1867,48,19,17,194,110,84,67,-5,2,0.5068027210884354,0.5714285714285714,2.8333333333333335,2.3095238095238093
